Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
195.6,3,2,5
195.8,2,1,3
196,1,1,0
196.2,7,7,5
196.4,4,3,3
196.6,4,3,5
196.8,2,2,5
197,4,6,6
197.2,9,3,3
197.4,3,3,4
197.6,5,2,2
197.8,1,2,2
198,5,3,6
198.2,7,0,2
198.4,5,2,2
198.6,6,3,3
198.8,5,1,2
199,4,7,6
199.2,1,2,2
199.4,5,5,3
199.6,0,5,2
199.8,1,2,4
200,3,3,1
200.2,2,5,3
200.4,2,7,6
200.6,2,2,5
200.8,3,3,3
201,4,2,3
201.2,2,4,2
201.4,3,3,0
201.6,6,3,5
201.8,2,2,3
202,2,5,3
202.2,2,3,2
202.4,5,5,3
202.6,1,2,3
202.8,2,3,3
203,6,1,4
203.2,3,3,1
203.4,4,2,3
203.6,2,3,2
203.8,4,2,2
204,2,3,5
204.2,2,4,2
204.4,2,4,2
204.6,3,3,2
204.8,2,4,3
205,5,4,3
205.2,7,2,5
205.4,6,5,3
205.6,1,2,1
205.8,3,5,3
206,2,1,4
206.2,3,6,6
206.4,4,0,4
206.6,3,7,4
206.8,0,2,4
207,4,4,10
207.2,4,2,6
207.4,5,2,4
207.6,4,2,3
207.8,2,3,3
208,6,3,4
208.2,3,2,4
208.4,6,1,3
208.6,1,3,2
208.8,4,6,5
209,3,3,0
209.2,4,1,2
209.4,3,1,3
209.6,5,5,2
209.8,3,9,4
210,3,2,6
210.2,8,2,2
210.4,4,2,9
210.6,2,0,6
210.8,2,0,3
211,3,1,3
211.2,1,3,2
211.4,0,4,0
211.6,4,2,3
211.8,4,2,2
212,3,4,1
212.2,7,2,4
212.4,5,2,4
212.6,7,4,4
212.8,7,8,5
213,5,0,2
213.2,1,1,5
213.4,5,4,5
213.6,4,4,4
213.8,1,3,6
214,2,4,2
214.2,1,4,3
214.4,5,2,3
214.6,2,3,4
214.8,2,6,1
215,2,0,3
215.2,3,4,3
215.4,4,3,3
215.6,6,3,2
215.8,4,3,2
216,2,2,2
216.2,2,2,3
216.4,5,3,0
216.6,4,0,5
216.8,0,1,0
217,2,2,1
217.2,5,3,1
217.4,0,3,5
217.6,3,8,4
217.8,3,1,4
218,7,3,2
218.2,3,3,5
218.4,6,8,5
218.6,2,1,3
218.8,3,4,3
219,4,4,5
219.2,4,1,1
219.4,3,4,0
219.6,6,7,2
219.8,2,3,3
220,1,3,4
220.2,5,5,4
220.4,8,3,5
220.6,2,1,3
220.8,8,4,7
221,3,0,5
221.2,1,3,2
221.4,1,6,1
221.6,4,1,2
221.8,2,2,2
222,3,3,2
222.2,5,4,4
222.4,4,2,4
222.6,5,4,5
222.8,2,2,1
223,5,3,2
223.2,6,1,4
223.4,2,2,4
223.6,3,8,5
223.8,5,3,7
224,1,5,4
224.2,4,5,4
224.4,8,3,3
224.6,3,1,2
224.8,2,0,2
225,5,5,3
225.2,3,1,1
225.4,2,8,1
225.6,1,4,5
225.8,2,6,3
226,4,5,5
226.2,4,0,1
226.4,3,3,1
226.6,6,2,4
226.8,5,2,4
227,3,2,6
227.2,7,4,6
227.4,7,6,1
227.6,1,4,6
227.8,3,3,6
228,5,4,3
228.2,5,2,3
228.4,4,5,6
228.6,0,2,5
228.8,2,4,6
229,2,4,4
229.2,4,1,2
229.4,4,2,4
229.6,2,3,8
229.8,4,4,3
230,2,3,2
230.2,4,3,6
230.4,6,1,2
230.6,2,2,3
230.8,6,3,3
231,3,4,5
231.2,1,4,2
231.4,5,1,0
231.6,1,4,2
231.8,4,3,6
232,4,4,1
232.2,1,1,4
232.4,4,2,3
232.6,2,4,1
232.8,4,1,1
