Time,Run 1
405.8,1
406,3
406.2,2
406.4,2
406.6,3
406.8,0
407,1
407.2,1
407.4,0
407.6,1
407.8,2
408,1
408.2,0
408.4,0
408.6,1
408.8,5
409,4
409.2,1
409.4,3
409.6,3
409.8,5
410,2
410.2,3
410.4,2
410.6,1
410.8,1
411,0
411.2,3
411.4,3
411.6,3
411.8,4
412,2
412.2,1
412.4,1
412.6,1
412.8,1
413,1
413.2,1
413.4,2
413.6,3
413.8,3
414,0
414.2,3
414.4,0
414.6,2
414.8,3
415,4
415.2,6
415.4,0
415.6,2
415.8,3
416,1
416.2,0
416.4,2
416.6,3
416.8,2
417,1
417.2,1
417.4,2
417.6,2
417.8,2
418,1
418.2,0
418.4,2
418.6,2
418.8,2
419,2
419.2,1
419.4,2
419.6,2
419.8,4
420,1
420.2,1
420.4,3
420.6,1
420.8,2
421,1
421.2,1
421.4,3
421.6,3
421.8,2
422,2
422.2,2
422.4,1
422.6,1
422.8,2
423,1
423.2,0
423.4,1
423.6,1
423.8,1
424,2
424.2,0
424.4,3
424.6,0
424.8,2
425,4
425.2,3
425.4,1
425.6,2
425.8,4
426,1
426.2,1
426.4,4
426.6,1
426.8,3
427,0
427.2,0
427.4,1
427.6,4
427.8,3
428,1
428.2,0
428.4,2
428.6,0
428.8,2
429,1
429.2,3
429.4,1
429.6,2
429.8,0
430,2
430.2,1
430.4,4
430.6,0
430.8,0
431,2
431.2,4
431.4,0
431.6,2
431.8,1
432,0
432.2,4
432.4,5
432.6,1
432.8,2
433,3
433.2,2
433.4,2
433.6,3
433.8,1
434,0
434.2,1
434.4,1
434.6,2
434.8,1
435,2
435.2,1
435.4,3
435.6,1
435.8,2
436,2
436.2,0
436.4,2
436.6,3
436.8,4
437,2
437.2,2
437.4,3
437.6,1
437.8,7
438,3
438.2,1
438.4,4
438.6,4
438.8,1
439,1
439.2,2
439.4,1
439.6,3
439.8,2
440,2
440.2,0
440.4,2
440.6,3
440.8,1
441,1
441.2,1
441.4,0
441.6,2
441.8,3
442,2
442.2,3
442.4,4
442.6,4
442.8,3
443,1
443.2,2
443.4,3
443.6,2
443.8,0
444,1
444.2,6
444.4,4
444.6,0
444.8,7
445,1
445.2,1
445.4,1
445.6,1
445.8,3
446,0
446.2,2
446.4,1
446.6,2
446.8,0
447,2
447.2,2
447.4,0
447.6,1
447.8,0
448,4
448.2,2
448.4,0
448.6,1
448.8,3
449,2
449.2,2
449.4,2
449.6,2
449.8,2
450,5
450.2,3
450.4,2
450.6,1
450.8,2
451,1
451.2,2
451.4,6
451.6,3
451.8,1
452,0
452.2,4
452.4,1
452.6,3
452.8,0
453,1
453.2,3
453.4,1
453.6,1
453.8,3
454,2
454.2,3
454.4,0
454.6,1
454.8,1
455,2
455.2,2
455.4,1
455.6,0
455.8,3
456,3
456.2,3
456.4,1
456.6,1
456.8,0
457,3
457.2,2
457.4,1
457.6,3
457.8,1
458,0
458.2,3
458.4,3
458.6,1
458.8,3
459,3
459.2,1
459.4,2
459.6,1
459.8,3
460,0
460.2,2
460.4,3
460.6,2
460.8,1
461,5
461.2,1
461.4,2
461.6,1
461.8,1
462,3
462.2,0
462.4,2
462.6,1
462.8,4
463,1
463.2,2
463.4,3
463.6,2
463.8,3
464,2
464.2,4
464.4,0
464.6,3
464.8,2
465,3
465.2,1
465.4,1
465.6,2
465.8,3
466,1
466.2,2
466.4,1
466.6,2
466.8,6
467,1
467.2,2
467.4,1
467.6,1
467.8,1
468,2
468.2,2
468.4,3
468.6,4
468.8,1
469,2
469.2,1
469.4,2
469.6,2
469.8,2
470,0
470.2,1
470.4,4
470.6,1
470.8,1
471,1
471.2,2
471.4,3
471.6,5
471.8,1
472,2
472.2,2
472.4,2
472.6,1
472.8,2
473,0
473.2,0
473.4,2
473.6,1
473.8,1
474,0
474.2,3
474.4,1
474.6,4
474.8,2
475,1
475.2,2
475.4,3
475.6,2
475.8,4
476,2
476.2,2
476.4,2
476.6,2
476.8,5
477,3
477.2,2
477.4,4
477.6,3
477.8,4
478,0
478.2,3
478.4,5
478.6,1
478.8,0
479,1
479.2,3
479.4,2
479.6,2
479.8,4
480,3
480.2,1
480.4,1
480.6,3
480.8,0
481,4
481.2,2
481.4,1
481.6,4
481.8,2
482,1
482.2,5
482.4,2
482.6,2
482.8,0
483,2
483.2,2
483.4,4
483.6,2
483.8,1
484,1
484.2,3
484.4,1
484.6,3
484.8,0
485,1
485.2,3
485.4,1
485.6,1
485.8,2
486,0
486.2,1
486.4,2
486.6,2
486.8,3
487,1
487.2,1
487.4,1
487.6,2
487.8,2
488,4
488.2,1
488.4,1
488.6,2
488.8,1
489,3
489.2,1
489.4,1
489.6,0
489.8,1
490,2
490.2,1
490.4,4
490.6,5
490.8,2
491,4
491.2,0
491.4,4
491.6,0
491.8,0
492,2
492.2,2
492.4,1
492.6,3
492.8,2
493,3
493.2,0
493.4,3
493.6,3
493.8,3
494,2
494.2,1
494.4,3
494.6,4
494.8,0
495,1
495.2,0
495.4,3
495.6,2
495.8,1
496,4
496.2,4
496.4,2
496.6,1
496.8,2
497,2
497.2,3
497.4,3
497.6,2
497.8,1
498,4
498.2,2
